原筑壹号	27000 元/平方米	江干德胜东路7666号（德胜快速路同协路出口下前行800米）
绿城之江1号	20000 元/平方米	之江之江区西湖国际高尔夫球场南面（方家路和横桥路交叉口）
溪上玫瑰园	1100 万元/套	余杭高教路东侧（五常大道高教路口公交站附近）
西溪玫瑰	600 万元/套	余杭荆长路，紧邻五常大道（五常大道与荆常路交叉口）
坚果2.0	7500 元/平方米	西湖三墩振华路（振华路与紫金港路交接处）
中顺上尚庭	24000 元/平方米	拱墅益乐路（益乐路和丰登路交叉口，政苑小区旁）
金都夏宫	7000 元/平方米	余杭北沙西路和星河路交叉口（北沙西路156号）
郡原列岛花园	800 万元/套	临安青山湖西岸泥山湾（青山湖风景区）
郡原相江公寓	12880 元/平方米	江干江干区下沙大道与海景路交叉口（九堡大桥西侧）
康恒悦麒美寓	110 万元/套	江干杨公路（杨公路与九盛路东侧，绿城丽江公寓西侧）
众安景海湾	12000 元/平方米	萧山萧山弘慧路延伸段（中国水文化博览园区内）
西溪海	9200 元/平方米	余杭闲富北路（天目山西路北侧,春城路和闲富北路交汇处）
东方君悦	30000 元/平方米	江干钱江新城民心路与剧院路交界处（邻万象城）
信达柳郡	9000 元/平方米	余杭瓶仓大道（新104国道与瓶仓大道交叉口的南面）
和达城	17000 元/平方米	下沙杭州经济技术开发区
绿城玉园	25000 元/平方米	余杭南苑街道（南临140亩水景公园，北靠人民大道）
东厦东港花苑	5500 元/平方米	余杭星河路（星河路和北沙西路交叉口）
潮都华庭	7000 元/平方米	萧山南阳街道办事处向西300米（东至南阳街道办事处，南至南虹路）
泰地北上新城	10800 元/平方米	下城华中路（南侧杭玻路，北侧永华街，西侧500米石桥路）
德意空港国际	8800 元/平方米	萧山靖江街道，东靠靖江路、南至环城南路
协安紫郡	16000 元/平方米	西湖董家路（竹桥路）与三墩港河交界处
协安蓝郡	14000 元/平方米	余杭古墩路（古墩路以东、金昌路以北，浙江交通职业技术学院以南）
秀水山居	5000 元/平方米	临安昌化镇（清凉峰山庄对面）
绿都御景蓝湾	8600 元/平方米	萧山杭城绕城南线义桥出口处1000米
绿城临安钱王文化广场	8000 元/平方米	临安锦城街道钱王文化广场（紧邻临安市政府及钱王陵公园）
绿城?园	450 万元/套	下城环城北路57号、环城东路353号
绿城青山湖红枫园	298 万元/套	临安青山湖
郡原九润公寓	14000 元/平方米	江干九堡新商圈九华路与九福路交界处
盛泰时代山	11000 元/平方米	下沙经济技术开发区4号大街（凯恩戴斯大酒店旁）
新湖武林国际公寓	43000 元/平方米	下城环城北路167号新湖武林国际园区会所新湖汇
和润园	21500 元/平方米	西湖西湖区古墩路与星艺街交汇处
顺发吉祥半岛	23000 元/平方米	拱墅登云路与通益路交叉口
金沙湖1号	13000 元/平方米	江干金沙大道（金沙大道和星河北路交叉口处）
顺发堤香	20000 元/平方米	萧山金鸡路与博学路的交叉口
顺发康庄	10000 元/平方米	萧山萧钱线与利群河交叉口
经纬美耀湾	18000 元/平方米	余杭星桥藕花洲大街西段
汉峰	22000 元/平方米	滨江滨盛路与江晖路交叉口西侧
蓝色港湾	6900 元/平方米	萧山大江东核心区域新湾街道（商贸城旁，新湾街道农贸市场西侧）
宋都晨光国际	9388 元/平方米	下沙新城23号大街（16号大街与23号大街交汇口）
北辰金座	8500 元/平方米	余杭仁和镇仁河大道与东西大道交叉口（毗邻仁和镇政府）
玺之湾	10500 元/平方米	江干笕丁路（笕丁路和规划丁桥东路交叉口，丁桥社区邻里中心）
中新御景湾	11000 元/平方米	萧山萧绍路天马加油站南（原杭州柴油机厂）
绿野春天叠翠谷	8300 元/平方米	西湖留和路小和山高教园区西侧，南依午潮山国家森林公园
红景凯丽晶座	10500 元/平方米	萧山通惠北路718号（通惠北路、振宁路路口）
绿野和山墅	1100 万元/套	余杭留和路延伸段到底（绿野春天东区）
赞成良著	470 万元/套	余杭良渚文化村美丽洲路（良渚博物院前）
银杏汇	35000 元/平方米	滨江滨江区闻涛路与东信大道交叉口向西600米杭州钱塘湾艺术馆
日信国际	30000 元/平方米	江干钱江新城钱江路与衢江路交界处
金帝海珀	7500 元/平方米	余杭荷禹路33号（邱山隧道北口，荷禹路振兴路西南角）
欣盛东方福邸	25000 元/平方米	拱墅益乐路（南邻万家花城，北依方家北路，东靠规划化工路）
欣北钱江国际广场	30 万元/套	余杭杭州钱江经济开发区顺风路
铂金名筑	19000 元/平方米	滨江长河路以西，纵二路以东，平安路以南，南环路以北
野风启城	5000 元/平方米	余杭钱江科技城（钱江开发区）康信路与兴盛路交叉处西北侧
钱塘梧桐蓝山	10500 元/平方米	余杭临平世纪大道与望梅路交叉口
中粮方圆府	18000 元/平方米	下城城北体育公园旁，香积寺路以北500米
新中宇维萨	22000 元/平方米	江干城东新城环站东路和新塘路交汇处（地铁线彭埠站D向南200米）
恒瑞名座	9000 元/平方米	萧山通惠北路和利华奥迪路交叉口西南角
中国铁建国际城	25000 元/平方米	拱墅湖州街和科园路交叉口往北150米（浙大城市学院旁）
朗诗美丽洲	18800 元/平方米	余杭良渚文化村梧桐圩路（近良渚博物院）
丽晶湾	20000 元/平方米	拱墅祥符南路与莫干山路交叉口以西200米，宝马4S店处
方正荷塘月色	16000 元/平方米	拱墅祥园路与通益路交叉口
华盛达阅城	21000 元/平方米	拱墅杭行路与祥富路交界处
和达御观邸	17000 元/平方米	下沙金沙大道与银沙路交叉口西南角
府尚别墅	500 万元/套	萧山钱江南岸戈雅公寓北侧（东临万达路、西南沿钱塘江）
金地天逸	23000 元/平方米	萧山金城路与风情大道交叉口，1号线滨康站正对面
天鸿香榭里	16000 元/平方米	拱墅东至通益路，南至祥运路，西至总管路，北临十字港河
野风山	15000 元/平方米	富阳九龙大道
万科草庄	26000 元/平方米	江干机场路355号，草庄公园南侧
杭州香港城	12000 元/平方米	西湖厚仁路与金渡北路口（距亲亲家园三期400米）
众安嘉润公馆	15000 元/平方米	萧山钱江世纪城射潮路以南，奔竞一路以东
宋都东郡国际	10000 元/平方米	下沙德胜快速路、沿江大道交汇处，浙江财经学院正北面
杭州碧桂园	9000 元/平方米	下沙东至海涛路，南至水云街，西至云涛北路，北至银海街
杭州宏丰家居城宏丰公寓	12000 元/平方米	余杭五常荆山湾88号
得力名门世家	19000 元/平方米	萧山南部卧城区（东临知章公园，南临南二环路及滨河景观带）
财和湘域湾	16000 元/平方米	萧山潘水路与蜀山路交界口
杭州水天城	11000 元/平方米	萧山钱江世纪城鸿宁路与皓月路交叉口
金都西花庭	13000 元/平方米	余杭狮山路618号
万和国际	17000 元/平方米	萧山市心北路与广场路交汇处，庆春路过江隧道出口以南
大华海派风范	10000 元/平方米	余杭文一西路北、同城印象东侧
波斯顿花园	4000 元/平方米	黄山 休宁县黄山南路体育馆南侧
远邦嘉裕天城	7300 元/平方米	萧山坎山镇（东临商贸路，南接坎山路）
赛丽绿城慧园	32000 元/平方米	拱墅丰潭路与方家北路交叉口东北角
赞成乐山红叶	10000 元/平方米	余杭西溪湿地延伸带（天目山西路闲富路口）
百大绿城西子国际	170 万元/套	江干庆春广场西侧，北至太平门直街，东至景坛路，南至庆春东路
中粮云涛名苑	16000 元/平方米	萧山湘湖新城（西至闻堰大道，南至湘湖路，东至四季大道）
世茂西西湖	5500 元/平方米	余杭南湖东路与城南路交汇处靠近02省道
湘湖壹号	3600 万元/套	萧山湘湖度假区内，西邻时代大道，北接湘湖路
昆仑府	15000 元/平方米	西湖文二西路和荆长大道（文二西路以北，荆长路以东）
泊林漫谷香墅园	300 万元/套	余杭西溪小和山高教园区之邻、午潮山下、留和路以北
绿城曼陀花园	450 万元/套	临安青山湖度假区泥山湾绿城曼陀花园
瑞立东方花城	21500 元/平方米	滨江滨安路与风情大道交叉口
侨福一品高尔夫	6500 元/平方米	余杭九桥高尔夫旁
贝利栖溪望府	13000 元/平方米	余杭塘栖镇绿荫街与塘栖路交叉口
微博公馆	8500 元/平方米	余杭小和山高教园西南角，留和路北侧
美好桂花溪园	7200 元/平方米	余杭瓶窑镇长连路西侧、沿山路以南
钱江水晶澜轩	1150 万元/套	滨江火炬大道以东，闻涛路以南，滨盛路以北
钱江之江新天地	10000 元/平方米	之江东至蜈蚣山，南接河山路，西至科海路，北靠浮山东路
保利玫瑰湾	10000 元/平方米	下沙沿江大道与15号大街东北
科尔南城嘉园	6450 元/平方米	萧山所前镇(东至河道，南至商贸路，西至所前大道，北至府前路)
龙湖香醍溪岸	230 万元/套	余杭S304省道与宏达路交汇处
